PT,AU,BA,BE,GP,AF,BF,CA,TI,SO,SE,BS,LA,DT,CT,CY,CL,SP,HO,DE,ID,AB,C1,RP,EM,RI,OI,FU,FX,CR,NR,TC,Z9,U1,U2,PU,PI,PA,SN,EI,BN,J9,JI,PD,PY,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
J,"Maynor, LM; Barrickman, AL; Stamatakis, MK; Elliott, DP",,,,"Maynor, Lena M.; Barrickman, Ashleigh Landis; Stamatakis, Mary K.; Elliott, David P.",,,Student and Faculty Perceptions of Lecture Recording in a Doctor of Pharmacy Curriculum,AMERICAN JOURNAL OF PHARMACEUTICAL EDUCATION,,,English,Article,,,,,,lecture capture; recording; attendance; technology,MEDICAL-EDUCATION; PERFORMANCE; ATTENDANCE,"Objective. To describe students' and faculty members' perceptions of the impact of lecture recording in a doctor of pharmacy (PharmD) curriculum. Methods. Second-and third-year pharmacy students and faculty members completed an anonymous survey instrument regarding their perceptions of lecture recording with 2 classroom lecture capture software programs, Camtasia Studio and Wimba Classroom. Results. Most students (82%) responded that Camtasia was very helpful and almost half (49%) responded that Wimba Classroom was helpful (p<0.001). Forty-six percent of the students reported being more likely to miss a class that was recorded; however, few students (10%) reported using recordings as a substitute for attending class. The most common concern of faculty members was decreased student attendance (27%). Conclusion. Pharmacy students consider lecture recordings beneficial, and they use the recordings primarily to review the lecture. While faculty members reported concerns with decreased attendance, few students reported using recordings as an alternative to class attendance.","[Maynor, Lena M.; Barrickman, Ashleigh Landis; Stamatakis, Mary K.; Elliott, David P.] W Virginia Univ, Sch Pharm, Morgantown, WV 26506 USA","Maynor, LM (reprint author), W Virginia Univ, Sch Pharm, POB 9520, Morgantown, WV 26506 USA.",lmaynor@hsc.wvu.edu,,,,,,19,4,4,3,7,AMER ASSOC COLL PHARMACY,ALEXANDRIA,"1426 PRINCE STREET, ALEXANDRIA, VA 22314-2815 USA",0002-9459,1553-6467,,AM J PHARM EDUC,Am. J. Pharm. Educ.,,2013,77,8,,,,,,,165,,,7,"Education, Scientific Disciplines; Pharmacology & Pharmacy",Education & Educational Research; Pharmacology & Pharmacy,236MM,WOS:000325801300011,24159206,No,,,29/11/2017
J,"DiVall, MV; Hayney, MS; Marsh, W; Neville, MW; O'Barr, S; Sheets, ED; Calhoun, LD",,,,"DiVall, Margarita V.; Hayney, Mary S.; Marsh, Wallace; Neville, Michael W.; O'Barr, Stephen; Sheets, Erin D.; Calhoun, Larry D.",,,"Perceptions of Pharmacy Students, Faculty Members, and Administrators on the Use of Technology in the Classroom",AMERICAN JOURNAL OF PHARMACEUTICAL EDUCATION,,,English,Article,,,,,,educational technology; perceptions; students; faculty; administrators,,"Objectives. To gather and evaluate the perceptions of students, faculty members, and administrators regarding the frequency and appropriateness of classroom technology use. Methods. Third-year pharmacy students and faculty members at 6 colleges and schools of pharmacy were surveyed to assess their perceptions about the type, frequency, and appropriateness of using technology in the classroom. Upper-level administrators and information technology professionals were also interviewed to ascertain overall technology goals and identify criteria used to adopt new classroom technologies. Results. Four hundred sixty-six students, 124 faculty members, and 12 administrators participated in the survey. The most frequently used and valued types of classroom technology were course management systems, audience response systems, and lecture capture. Faculty members and students agreed that faculty members appropriately used course management systems and audience response systems. Compared with their counterparts, tech-savvy, and male students reported significantly greater preference for increased use of classroom technology. Eighty-six percent of faculty members reported having changed their teaching methodologies to meet student needs, and 91% of the students agreed that the use of technology met their needs. Conclusions. Pharmacy colleges and schools use a variety of technologies in their teaching methods, which have evolved to meet the needs of the current generation of students. Students are satisfied with the appropriateness of technology, but many exhibit preferences for even greater use of technology in the classroom.","[DiVall, Margarita V.] Northeastern Univ, Sch Pharm, Boston, MA 02115 USA; [Hayney, Mary S.] Univ Wisconsin, Sch Pharm, Madison, WI 53706 USA; [Marsh, Wallace] Shenandoah Univ, Bernard J Dunn Sch Pharm, Winchester, VA USA; [Neville, Michael W.] Univ Georgia, Coll Pharm, Athens, GA 30602 USA; [O'Barr, Stephen] Western Univ Hlth Sci, Coll Pharm, Pomona, CA USA; [Sheets, Erin D.] Univ Minnesota, Coll Pharm, Minneapolis, MN 55455 USA; [Calhoun, Larry D.] E Tennessee State Univ, Bill Gatton Coll Pharm, Johnson City, TN 37614 USA","DiVall, MV (reprint author), Northeastern Univ, Sch Pharm, 140 Fenway,R218TF, Boston, MA 02115 USA.",m.divall@neu.edu,,,,,,22,9,9,0,5,AMER ASSOC COLL PHARMACY,ALEXANDRIA,"1426 PRINCE STREET, ALEXANDRIA, VA 22314-2815 USA",0002-9459,,,AM J PHARM EDUC,Am. J. Pharm. Educ.,,2013,77,4,,,,,,,75,,,7,"Education, Scientific Disciplines; Pharmacology & Pharmacy",Education & Educational Research; Pharmacology & Pharmacy,146BE,WOS:000319063000010,23716743,No,,,29/11/2017
J,"Al Nashash, H; Gunn, C",,,,"Al Nashash, Hasan; Gunn, Cindy",,,Lecture Capture in Engineering Classes: Bridging Gaps and Enhancing Learning,EDUCATIONAL TECHNOLOGY & SOCIETY,,,English,Article,,,,,,Lecture capture; Learner autonomy; Technology in higher education; Engineering,,"This paper explores the use of lecture capture in Engineering classes to provide students with the opportunity to enhance their understanding of the course content. Students were asked to provide feedback on what they perceive the benefits and the drawbacks of lecture capture to be. The results show that the students consider lecture capture an effective tool to help them succeed in the course. The videos are available to them 24 hours a day, seven days a week thus allowing students to bridge the gap between what they have understood in the formal class setting and what they are able to better understand after reviewing the videos in a more informal, relaxed environment. In addition, most of the students indicated that the availability of the videos did not encourage them to skip or miss any classes. The main drawback was associated with technical difficulties which resulted in some wasted time.","[Al Nashash, Hasan; Gunn, Cindy] Amer Univ Sharjah, Sharjah, U Arab Emirates","Al Nashash, H (reprint author), Amer Univ Sharjah, POB 2666, Sharjah, U Arab Emirates.",hnashash@aus.edu; cgunn@aus.edu,,,,,,8,11,11,0,8,"IEEE COMPUTER SOC, LEARNING  TECHNOLOGY TASK FORCE",PALMERSTON NORTH,"BAG 11-222, MASSEY UNIVERSITY, PALMERSTON NORTH, NEW ZEALAND",1436-4522,,,EDUC TECHNOL SOC,Educ. Technol. Soc.,JAN,2013,16,1,,,,,69,78,,,,10,Education & Educational Research,Education & Educational Research,075OQ,WOS:000313896800007,,gold,,,29/11/2017
J,"Mbogho, A; Marquard, S",,"Wani, MA; Tecuci, G; Boicu, M; Kubat, M; Khoshgoftaar, TM; Seliya, N",,"Mbogho, Audrey; Marquard, Stephen",,,Improving the Transcription of Academic Lectures for Information Retrieval,"2013 12TH INTERNATIONAL CONFERENCE ON MACHINE LEARNING AND APPLICATIONS (ICMLA 2013), VOL 2",,,English,Proceedings Paper,12th International Conference on Machine Learning and Applications (ICMLA),"DEC 04-07, 2013","Miami, FL","Assoc Machine Learning & Applicat, IEEE, IEEE Comp Soc",,,LATENT SEMANTIC ANALYSIS; AUDIO,"Recording university lectures through lecture capture systems is increasingly common, generating large amounts of audio and video data. Transcribing recordings greatly enhances their usefulness by making them easy to search. However, the number of recordings accumulates rapidly, rendering manual transcription impractical. Automatic transcription, on the other hand, suffers from low levels of accuracy, partly due to the special language of academic disciplines, which standard language models do not cover. This paper looks into the use of Wikipedia to dynamically adapt language models for scholarly speech. We propose Ranked Word Correct Rate as a new metric better aligned with the goals of improving transcript searchability and specialist word recognition. The study shows that, while overall transcription accuracy may remain low, targeted language modelling can substantially improve searchability, an important goal in its own right.","[Mbogho, Audrey] Univ Cape Town, Dept Comp Sci, ZA-7700 Rondebosch, South Africa; [Marquard, Stephen] Univ Cape Town, Ctr Educ Technol, ZA-7700 Rondebosch, South Africa","Mbogho, A (reprint author), Univ Cape Town, Dept Comp Sci, ZA-7700 Rondebosch, South Africa.",Audrey.Mbogho@uct.ac.za; Stephen.Marquard@uct.ac.za,,,,,,21,0,0,0,0,IEEE,NEW YORK,"345 E 47TH ST, NEW YORK, NY 10017 USA",,,978-0-7695-5144-9,,,,2013,,,,,,,560,567,,10.1109/ICMLA.2013.177,,8,"Computer Science, Artificial Intelligence; Computer Science, Interdisciplinary Applications",Computer Science,BC5YB,WOS:000353638700099,,No,,,29/11/2017
S,"Goh, SC; Galligan, LA; Ku, H",,,ASEE,"Goh, Steven Chingnam; Galligan, Linda Ann; Ku, Harry",,,Wireless Tablet PCs for Enhanced Teaching at an Australian Regional University Teaching On-campus and Distance Modes,2013 ASEE ANNUAL CONFERENCE,ASEE Annual Conference & Exposition,,English,Proceedings Paper,ASEE Annual Conference,"JUN 23-26, 2013","Atlanta, GA",ASEE,,,,"This paper examines the concept of using Tablet PCs as a potential effective learning and teaching (L&T) enhancement tool in classroom environments for on-campus and distance teaching modes. It reports on findings and recommendations of a faculty sponsored L&T enhancement project in the Faculty of Engineering and Surveying at the University of Southern Queensland (USQ), which aims to investigate the role of wireless enabled Tablet PCs as a teaching and learning enhancement tool and its impact on student's retention and progression. The project has identified scenarios of using Table PCs by educators in classroom settings. These include using Tablet PC as a presentation medium with hand-drawing functionality, an electronic assignment marker, a lecture recording tool, and a wireless video projection. Pedagogical aspects of wireless tablet PCs are also briefly discussed in this paper. It has been noted in our project that the use of tablet PCs as a teaching tool has assisted to improve parity between on-campus and external students, improve interactivity between teachers and students, illustration of concepts, and turnaround of marking assignments.","[Goh, Steven Chingnam; Galligan, Linda Ann] Univ So Queensland, Toowoomba, Qld 4350, Australia; [Ku, Harry] Univ So Queensland, Fac Engn & Surveying, Toowoomba, Qld 4350, Australia","Goh, SC (reprint author), Univ So Queensland, Toowoomba, Qld 4350, Australia.",,,,,,,14,0,0,0,0,AMER SOC ENGINEERING EDUCATION,WASHINGTON,"1818 N STREET, NW SUITE 600, WASHINGTON, DC 20036 USA",2153-5965,,,ASEE ANNU CONF EXPO,,,2013,,,,,,,,,,,,12,"Education & Educational Research; Education, Scientific Disciplines; Engineering, Multidisciplinary",Education & Educational Research; Engineering,BE0YQ,WOS:000367454804006,,No,,,29/11/2017
S,"Iszaidy, I; Ahmad, RB; Kahar, NF; Rahman, M; Yaakob, SN",,,IEEE,"Iszaidy, I.; Ahmad, R. B.; Kahar, N. F.; Rahman, Mostafijur; Yaakob, Shahrul Nizam",,,A Portable Class Lecture Recording System for E-Learning Purpose,2013 IEEE CONFERENCE ON OPEN SYSTEMS (ICOS),IEEE Conference on Open Systems,,English,Proceedings Paper,IEEE Conference on Open Systems (ICOS),"DEC 02-04, 2013","Kuching, MALAYSIA","IEEE, IEEE Comp Soc, Univ Technol Malaysia, IEEE Comp Soc Malaysia Sect",,portable; LRS; real time,,"In a new educational concept, the Lecture Recording system is one of the devices that are widely used to provide educational material to students. Even so, the existing Lecture Recording systems are able to record only one video in real time. If the system is able to record multiple video, the video editing is done after recording time. In this paper, a new design for lecture recording system is introduced. It offers a simple equipment set up for lecture recording that will minimize lecturer's burden. Furthermore, the system will edit the video in real time depend on user setting. This system is also small in size and portable. This lecture recording system allows students to re-experience the lecture session at anytime and anywhere by downloading it or viewing it through the portal. This lecture recording system is user friendly where it can be installed without any additional software. Therefore, it can be a great system for lecturers who are using laptops for their class presentation.","[Iszaidy, I.; Ahmad, R. B.; Kahar, N. F.; Rahman, Mostafijur; Yaakob, Shahrul Nizam] Univ Malaysia Perlis, Sch Comp & Commun Engn, Arau, Perlis, Malaysia","Iszaidy, I (reprint author), Univ Malaysia Perlis, Sch Comp & Commun Engn, D-A Kompleks Pusat Pengajian Pembuatam, Arau, Perlis, Malaysia.",iszaidyismail@gmail.com; badli@unimap.edu.my; nurfarhan@unimap.edu.my; mostafijur@unimap.edu.my; ysnizam@gmail.com,,"Ahmad, R.Badlishah/0000-0002-4862-2728",,,,7,0,0,0,0,IEEE,NEW YORK,"345 E 47TH ST, NEW YORK, NY 10017 USA",2381-3474,,,IEEE CONF OPEN SYST,IEEE Conference on Open Systems,,2013,,,,,,,52,57,,,,6,"Computer Science, Software Engineering; Computer Science, Theory & Methods",Computer Science,BC0OH,WOS:000349255600011,,No,,,29/11/2017
J,"Akhtar, SA; Warburton, S; Xu, W",,,IEEE,"Akhtar, S. A.; Warburton, S.; Xu, W.",,,Development and Preliminary Evaluation of an Interactive System to Support CAD Teaching,2013 IEEE INTERNATIONAL SYMPOSIUM ON MULTIMEDIA (ISM),IEEE International Symposium on Multimedia-ISM,,English,Proceedings Paper,15th IEEE International Symposium on Multimedia (ISM),"DEC 09-11, 2013","Anaheim, CA","IEEE, IEEE Comp Soc",,,,"It has been a goal for many researchers to make education more enjoyable, attractive and effective through the use of multimedia technology [1]. Achieving this goal requires rich interactive communication between students and tutors and a clear understanding of the educational environment. Despite the availability of wide range of commercial systems that can support multimedia within the classroom there remains a gap for an innovative system that can provide a blended approach to providing support for live teaching sessions. This paper introduces SurreyConnect, a bespoke system, designed to enhance the teaching and learning experience in large classroom settings. It provides lecture recording with selective replay, implicit and explicit responses and multiple tutors support. In addition to its interactive user interface, SurreyConnect acts an early warning system by monitoring learners' in-class behaviour, presenting it in an interactive dashboard to the tutor and suggesting interventions in the light of rule- based programmable knowledge. The system has been tested in a real classroom environment of Computer Aided Design course with more than 150 students and received over 60% positive feedback from the students.","[Akhtar, S. A.; Warburton, S.; Xu, W.] Univ Surrey, Guildford GU2 5XH, Surrey, England","Akhtar, SA (reprint author), Univ Surrey, Guildford GU2 5XH, Surrey, England.",s.akhtar@surrey.ac.uk; s.warburton@surrey.ac.uk; w.xu@surrey.ac.uk,,,,,,18,1,1,0,1,IEEE,NEW YORK,"345 E 47TH ST, NEW YORK, NY 10017 USA",,,978-0-7695-5140-1,IEEE INT SYM MULTIM,,,2013,,,,,,,480,485,,10.1109/ISM.2013.92,,6,"Computer Science, Information Systems; Telecommunications",Computer Science; Telecommunications,BC2PU,WOS:000351204700081,,No,,,29/11/2017
J,"Moes, S; Young, C",,"Chova, LG; Martinez, AL; Torres, IC",,"Moes, S.; Young, C.",,,"WHICH TYPES OF LECTURE CAPTURE, KNOWLEDGE AND INSTRUCTION CLIPS COULD IMPROVE THE QUALITY OF LEARNING OUTCOMES?","6TH INTERNATIONAL CONFERENCE OF EDUCATION, RESEARCH AND INNOVATION (ICERI 2013)",,,English,Proceedings Paper,"6th International Conference on Education, Research and Innovation (ICERI)","NOV 18-20, 2013","Seville, SPAIN",,,web lectures; knowledge clips; instruction clips; lower and higher order learning goals; student success; student and academic satisfaction,,"In the project REC: all 15 case studies have been developed with focus on how various forms of web lectures; knowledge and instruction clips, interactive live webinars, they can help to intensify learning. We also addressed the question on witch way these learning materials can be integrated best way into courses. Via the case studies running in 4 universities (University College London (United Kingdom), VU University Amsterdam (The Netherlands), Universite de Lorraine (France) and Universitat Politecnica de Valencia (Spain) we examine not only whether these various forms are relevant to increase study success and to intensify learning, but also whether the student and teacher satisfaction will be increased. These case studies are developed not only to improve the learning facilities in the classroom, but also in a blended learning situation and when students have to learn into the field. To integrate a combination of various forms into the courses, we have investigated the higher and lower order learning goals (Sealfon 2012) for each case study. The lower-order learning goals are for e.g. understanding/remembering. Followed by the next level of learning like: applying/analyzing. Were after we can reach higher-order learning goals as creating and evaluating, to achieve deeper learning. From the project on we would like to deliver an overview by creation of a framework where various emerging pedagogical uses of lecture capture technologies are connected to the mentioned learning goals. The case studies of REC: all give input to this model. The framework also addresses questions on the learning processes of students.","[Moes, S.] Vrije Univ Amsterdam, Amsterdam, Netherlands; [Young, C.] UCL, London WC1E 6BT, England",,,,,,,,18,0,0,0,4,IATED-INT ASSOC TECHNOLOGY EDUCATION A& DEVELOPMENT,VALENICA,"LAURI VOLPI 6, VALENICA, BURJASSOT 46100, SPAIN",,,978-84-616-3847-5,,,,2013,,,,,,,5053,5062,,,,10,Education & Educational Research,Education & Educational Research,BB8PK,WOS:000347240605020,,No,,,29/11/2017
J,"Silveira, J",,"Chova, LG; Martinez, AL; Torres, IC",,"Silveira, Jeramie",,,CAN THEORY COURSES BE TOO HEAVY TO FLIP OR CAN FLIPPING MAKE THEORY FUN?,"6TH INTERNATIONAL CONFERENCE OF EDUCATION, RESEARCH AND INNOVATION (ICERI 2013)",,,English,Proceedings Paper,"6th International Conference on Education, Research and Innovation (ICERI)","NOV 18-20, 2013","Seville, SPAIN",,,Flipped classroom; blended learning; assessment of student learning,LEARNING-STRATEGIES; EDUCATION; OUTCOMES,"The flipped model of learning is a form of blended learning which integrates the use of technology such as learning object repositories, lecture capture technology, vodcasts, Ipadio, digital imaging, streaming audio, and interactive case simulations to leverage the learning in a classroom, so an instructor can spend more time interacting with students instead of lecturing. The flipped model of learning has transformed teaching practice by changing traditional roles and increasing interaction between the instructor and students during class. In the flipped classroom, the blended learning strategies transfer the responsibility and ownership of learning from the teacher to the students through participation in active learning activities [1]. The empirical evidence for active learning, defined as any instructional method that engages students in the learning process, is extensive [2]. New developments in cognitive science challenge traditional notions of teaching, learning and retention. Cognitive scientists have determined that people's short-term memory is very limited and can only process so much information at once [3]. The vast amount of information presented in a typical lecture comes at students too fast and is quickly forgotten. Designing experiences that encourage students to transform into active learners rather than passive repositories of information is essential [4]. In the flipped instructional model, lectures occur outside of the classroom so students learn the material prior to coming into class. In class time is then freed up to discuss complex topics and work with students either individually or in small groups, increased in-class student problem solving with immediate feedback occurs, and adaption of content and class discussion to meet current level of students learning is possible [5]. The goal of this pilot study was to assess the impact of the flipped classroom instructional model on occupational therapy student learning outcomes and perceptions in a traditional theory course. The pre and post competency and critical thinking outcomes demonstrated increased retention and application of theoretical constructs in flipped classroom students as compared to those students who received instruction in the traditional classroom format.","[Silveira, Jeramie] Salem State Univ, Salem, MA USA","Silveira, J (reprint author), Salem State Univ, Salem, MA USA.",,,,,,,20,0,0,2,3,IATED-INT ASSOC TECHNOLOGY EDUCATION A& DEVELOPMENT,VALENICA,"LAURI VOLPI 6, VALENICA, BURJASSOT 46100, SPAIN",,,978-84-616-3847-5,,,,2013,,,,,,,5977,5981,,,,5,Education & Educational Research,Education & Educational Research,BE8BW,WOS:000376253200012,,No,,,29/11/2017
S,"Cabedo-Fabres, M; Calvet-Sanz, S; Moreno-Ramon, H; Turro-Ribalta, C; Ibanez-Asensio, S; Young, C",,"Chova, LG; Martinez, AL; Torres, IC",,"Cabedo-Fabres, Marta; Calvet-Sanz, Salvador; Moreno-Ramon, Hector; Turro-Ribalta, Carlos; Ibanez-Asensio, Sara; Young, Clive",,,REC:all PROJECT: CASE STUDIES OF LECTURE CAPTURE AT UPV,"7TH INTERNATIONAL TECHNOLOGY, EDUCATION AND DEVELOPMENT CONFERENCE (INTED2013)",INTED Proceedings,,English,Proceedings Paper,"7th International Technology, Education and Development Conference (INTED)","MAR 04-06, 2013","Valencia, SPAIN",,,lecture capture; web lectures; case studies; lifelong learning; e-learning,,"More and more higher education institutes across Europe are recording their live lectures and putting the videos online as a way to support students in their learning. However, there is so far very little evidence of what impact this has, if any, on students' learning experiences and indeed teachers' perceptions and practice and innovative practice is so far quite rare. REC:all is a project funded with support from the European Commission under the Lifelong Learning Programme, that studies how lectures are currently being captured and used in the institutions involved in the project and the wider European High Education Community. The aim of REC: all is to explore new ways in which lecture capture can become more pedagogically valuable and engaging, and is investigating a variety of learning design, technical and legal issues. By exploring student and teacher needs REC: all is developing guidelines for teachers to enable innovative and interactive educational designs that exploit the potential of this new technology. The REC: all project brings together experts in five EU countries who are already actively using lecture capture, in order to exchange ideas, research case studies, co-develop guidelines for the community and develop an active network of practitioners. Universitat Politecnica de Valencia (UPV) is one of the institutions involved in REC: all project. UPV has long experience in video capture, and has developed an institutional system called Polimedia for creating multimedia contents. UPV is also well known for adopting new teaching methods that promote a more active, practical and critical learning process in accordance with the demands of the European Higher Education Area (EHEA). In this communication two case studies of effective use of lecture capture are presented. These case studies have been conducted at UPV under the framework of REC: all project, with the aim of developing transferable and practical pedagogical models and reference benchmarks of good practice. Each case study will describe the pedagogical context, the educational design, and how lecture capture influences the delivery format. Organizational aspects will also be considered such as: what educational support is needed and where this should be placed, what is desirable with respect to the training of teachers and support staff. In the oral presentation, an overall evaluation of the case studies will be presented in order to share and improve practice among the wider educational community.","[Cabedo-Fabres, Marta; Calvet-Sanz, Salvador; Moreno-Ramon, Hector; Turro-Ribalta, Carlos; Ibanez-Asensio, Sara] Univ Politecn Valencia, Valencia, Spain; [Young, Clive] UCL, London WC1E 6BT, England",,marcafab@dcom.upv.es; salcalsa@upvnet.upv.es; c.p.l.young@ucl.ac.uk,"Turro, Carlos/I-1646-2015","Turro, Carlos/0000-0002-3840-9405",,,,11,0,0,2,4,IATED-INT ASSOC TECHNOLOGY EDUCATION A& DEVELOPMENT,VALENICA,"LAURI VOLPI 6, VALENICA, BURJASSOT 46100, SPAIN",2340-1079,,978-84-616-2661-8,INTED PROC,,,2013,,,,,,,12,20,,,,9,Education & Educational Research,Education & Educational Research,BB8IX,WOS:000346699800003,,No,,,29/11/2017
S,"Porter, T",,"Chova, LG; Martinez, AL; Torres, IC",,"Porter, Tameka",,,CAN E-LEARNING IMPROVE THE COST AND EFFICACY OF REMEDIAL EDUCATION?,"7TH INTERNATIONAL TECHNOLOGY, EDUCATION AND DEVELOPMENT CONFERENCE (INTED2013)",INTED Proceedings,,English,Proceedings Paper,"7th International Technology, Education and Development Conference (INTED)","MAR 04-06, 2013","Valencia, SPAIN",,,Remedial Education; E-Learning; MOOC; Lecture Capture Technology; Targeted Instruction; Import/Export Model,,"Remedial or developmental courses provide a corrective outlet that remedies educational disparities experienced throughout primary and secondary education by developing the competencies needed to complete college-level work, particularly in mathematics, English, and foreign language. Analysis by the United States Department of Education shows 78% of all American higher education institutions offer remedial courses. Over 20% of all entering students enroll in one or more developmental courses. Twenty-four percent are admitted into at least one remedial mathematics course. 17% take at least one writing course; 13% enroll in at least one reading course. Many critics find that remediation programs are too expensive to fund at the taxpayers' expense and do not improve persistence or completion rates. Funding estimates for such programs are as high as $2 billion per year. The Higher Education Act of 1985 specifies the amount of federal aid designated for funding developmental activities yet it does not mandate how programs are provided. This article examines e-learning paradigms that could increase the efficacy of remediation programs while reducing the cost to the university system. To begin, the most promising e-learning techniques are reviewed: lecture capture technology and Massively Open Online Courses (MOOCs), programs that enable students to acquire, store, and retain targeted instructional materials for ongoing competency-based development. The paper concludes by describing the import/export model. This method creates large-scale virtual campuses at little to no cost to the student while reducing university labor and administrative costs.","[Porter, Tameka] George Mason Univ, Fairfax, VA 22030 USA",,tporter4@masonlive.gmu.edu,,,,,,18,0,0,2,6,IATED-INT ASSOC TECHNOLOGY EDUCATION A& DEVELOPMENT,VALENICA,"LAURI VOLPI 6, VALENICA, BURJASSOT 46100, SPAIN",2340-1079,,978-84-616-2661-8,INTED PROC,,,2013,,,,,,,878,884,,,,7,Education & Educational Research,Education & Educational Research,BB8IX,WOS:000346699800124,,No,,,29/11/2017
S,"Nair, P; Yao, A; Ramchand, T",,"Chova, LG; Martinez, AL; Torres, IC",,"Nair, P.; Yao, A.; Ramchand, T.",,,LEARNING ANYTIME AND ANYWHERE: REDEFINING STUDENTS' LEARNING EXPERIENCE AT TAYLOR'S UNIVERSITY,"7TH INTERNATIONAL TECHNOLOGY, EDUCATION AND DEVELOPMENT CONFERENCE (INTED2013)",INTED Proceedings,,English,Proceedings Paper,"7th International Technology, Education and Development Conference (INTED)","MAR 04-06, 2013","Valencia, SPAIN",,,e-learning; anytime; anywhere learning; blended learning,,"Given the lifestyle norms of Generation Y and the subsequent generations, universities around the world are actively seeking to redefine the learning experience of their students through e-learning, to maintain a competitive advantage. The promise of proponents of e-learning is that learning no longer needs to be a passive experience-e-learning makes learning an active experience with emphasis on interactivity or learning by doing. In recognizing and embracing the transformative potential of e-learning, Taylor's University, a 44-year old institution has developed a 5-year e-learning strategic plan in which e-learning will play an important role in equipping graduates with the skills they need to succeed in the 21st-century digital economy. The plan proposes to restructure current learning environments and methodologies, including the proposition of an e-learning mission statement, guiding principles, goals, strategies, success measures and key responsibilities. The aim is that by 2015 all Taylor's students will be able to ""learn anytime and anywhere"". The paper elaborates how the e-learning strategic plan is embedded institutionally as 'blended learning', which adopts a strategic and systematic implementation of technology combined with the best features of face-to-face interaction to integrate different modes of delivery, models of teaching and styles of learning. The plan will systematically create a virtual learning environment (VLE) which encompasses technology enhanced curricula, a robust learning management system, development of course homepages, lecture capture, collaborative classrooms, and superior information technology infrastructure that will facilitate between 30% through up to 80% of learning take place thorugh online means. The plan also dwells on the willingness and ability of current faculty to adopt e-learning. This will be the critical factor determining the success or failure of the implementation of e-learning at the university. The plan proposes the setting up of an e-learning Academy and a corollary Teaching Enhancement Plan (TEP) that will operationalize Taylor's commitment to improve faculty competencies through professional development and training. The paper finally ends with an analysis of responses from students and staff on the various initiatives introduced and future measures to be taken to integrate e-learning throughout the entire fabric of Taylor's so that it remains a competitive institution of higher learning for future generations.","[Nair, P.; Yao, A.; Ramchand, T.] Taylors Univ, Subang Jaya, Malaysia",,pradeep.n@taylors.edu.my; yao.adrian@taylors.edu.my; tarana.gr@taylors.edu.my,,,,,,5,0,0,0,0,IATED-INT ASSOC TECHNOLOGY EDUCATION A& DEVELOPMENT,VALENICA,"LAURI VOLPI 6, VALENICA, BURJASSOT 46100, SPAIN",2340-1079,,978-84-616-2661-8,INTED PROC,,,2013,,,,,,,6386,6396,,,,11,Education & Educational Research,Education & Educational Research,BB8IX,WOS:000346699806054,,No,,,29/11/2017
B,"Thomas, H; Hollis, J","Benson, AD; Moore, JL; VanRooij, SW",,,"Thomas, Herbert; Hollis, Jessica","Benson, AD; Moore, JL; VanRooij, SW",,"Project Management, Complexity and Creativity","CASES ON EDUCATIONAL TECHNOLOGY PLANNING, DESIGN, AND IMPLEMENTATION: A PROJECT MANAGEMENT PERSPECTIVE",,,English,Article; Book Chapter,,,,,,,,"This case involves the implementation of an automated capture solution, aimed at replacing a manual lecture capture service at the University of Canterbury in New Zealand. The implementation of such a solution, within a very short timeframe and subject to a constrained budget, was necessitated by a significant change in lecturer-student interaction brought about by a devastating earthquake and associated aftershocks. In consequence, recently adopted project management methodology at the institution had to be amended in order to incorporate software selection processes under way at another institution. The university project management approach (based on Prince 2 project management philosophy) includes an exhaustive comparison of software packages, based on detailed ""Request for Information"" and ""Request for Proposal"" procedures. Severe time constraints forced the project team to omit these procedures by tapping into the same process at another university undergoing the same exercise. This was the only way in which the project could be completed within the proposed timeframe. Currently, the automated capture solution is being prepared for handover from the project manager to the institution in December 2012, as planned.","[Thomas, Herbert; Hollis, Jessica] Univ Canterbury, Christchurch, New Zealand","Thomas, H (reprint author), Univ Canterbury, Christchurch, New Zealand.",,,,,,,5,0,0,0,0,IGI GLOBAL,HERSEY,"701 E CHOCOLATE AVE, STE 200, HERSEY, PA 17033-1240 USA",,,978-1-4666-4238-6; 978-1-4666-4237-9,,,,2013,,,,,,,188,205,,10.4018/978-1-4666-4237-9.ch011,10.4018/978-1-4666-4237-9,18,"Computer Science, Interdisciplinary Applications; Education & Educational Research",Computer Science; Education & Educational Research,BF9IT,WOS:000385648400012,,No,,,29/11/2017
